,早い,遅い,*AとBC間の能力に差がない場合はドンピシャ,,,,,,,,,,
Aのマイニング,+,-,,,,,,,,,,,
Aの通知,+,-,,,,,,,,,,,
BCのマイニング,-,+,,,,,,,,,,,
BCの通知,-,+,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,相対誤差（上）,相対誤差（下）,,,,,,,,,,,
ベース,0.035671099,-0.006970719,,,,,,,,,,,
Bの通知が遅い,0.327820794,0.294700752,,,,,,,,,,,
Aの通知が遅い,-0.191643381,-0.209477837,,,,,,,,,,,
全員の通知が遅い,0.017501939,-0.002915677,,,,,,,,,,,
Bの通知が早い,-0.099191502,-0.14370074,,,,,,,,,,,
BとCの通知が早い,-0.2365573,-0.27695145,,,,,,,,,,,
Aのマイニングが速い,0.043846453,0.008521939,,,,,,,,,,,
AとBのマイニングが速い,-0.004751714,-0.028681058,,,,,,,,,,,
全員のマイニングが遅い,0.008745277,-0.018435911,,,,,,,,,,,
Bのマイニングが速い,-0.021067281,-0.048891993,,,,,,,,,,,
Aの通知が早い,0.283971575,0.189633806,,,,,,,,,,,
Aのマイニングが速く、通知が遅い,-0.132806037,-0.138582019,,,,,,,,,,,
Aのマイニング通知が二倍,-0.009580985,-0.055034012,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
各種パラメータ・結果詳細,,,,,,,,,,,,,
ベースは,1/10,1/10,1/10,1/0.1,1/0.1,1/0.1,シミュレーション(上),0.018734397,0.000122323,,,,
,,,,,,,シミュレーション(下),0.019538873,0.000191926,,,,
,1/10,0.196097035,,1/0.05,1/0.1,,解析,0.019402673,0.000197015,,,,
,,,,,,,相対誤差（上）,0.035671099,0.610604795,,,,
,,,,,,,相対誤差（下）,-0.006970719,0.026512691,,,,
,,,,,,,,,,,,,
Bの通知が遅い,1/10,1/10,1/10,1/0.1,1/1,1/0.1,シミュレーション(上),0.0513959,0.001541134,,,,
,1/10,0.180845194,,1/0.05,1.76711421,,シミュレーション(下),0.05271067,0.001640143,,,,
,,,,,,,解析,0.068244545,0.002925005,0.000118213,4.77E-06,1.92E-07,7.76E-09
,,,,,,,相対誤差（上）,0.327820794,0.897956311,,,,
,,,,,,,相対誤差（下）,0.294700752,0.783384631,,,,
,,,,,,,,,,,,,
Bの通知がちょっと遅い,1/10,1/10,1/10,1/0.1,1/0.5,1/0.1,シミュレーション(上),0.037271382,,,,,
,1/10,0.188885408,,1/0.05,3.295130245,,シミュレーション(下),0.038351693,,,,,
,,,,,,,解析,0.042383173,0.001026883,2.39E-05,5.57E-07,1.30E-08,3.02E-10
,,,,,,,相対誤差（上）,0.137150554,,,,,
,,,,,,,相対誤差（下）,0.105118699,,,,,
,,,,,,,,,,,,,
Aの通知が遅い,1/10,1/10,1/10,1/1,1/0.1,1/0.1,シミュレーション(上),0.087200877,,,,,
,1/10,0.196097035,,1/0.5,1/0.1,,シミュレーション(下),0.089168159,,,,,
,,,,,,,解析,0.070489406,0.002986479,0.00011957,4.78E-06,1.91E-07,
,,,,,,,相対誤差（上）,-0.191643381,,,,,
,,,,,,,相対誤差（下）,-0.209477837,,,,,
,,,,,,,,,,,,,
全員の通知が遅い,1/10,1/10,1/10,1/1,1/1,1/1,シミュレーション(上),0.136686752,,,,,
,1/10,0.167708,,1/0.5,1/1,,シミュレーション(下),0.139485731,,,,,
,,,,,,,解析,0.139079035,0.014378211,0.001329946,0.000121714,1.11E-05,
,,,,,,,相対誤差（上）,0.017501939,,,,,
,,,,,,,相対誤差（下）,-0.002915677,,,,,
,,,,,,,,,,,,,
Bの通知が早い,1/10,1/10,1/10,1/0.1,1/0.01,1/0.1,シミュレーション(上),0.015161244,,,,,
,1/10,0.197833585,,1/0.05,18.1168983,,シミュレーション(下),0.015949304,,,,,
,,,,,,,解析,0.013657377,9.65E-05,,,,
,,,,,,,相対誤差（上）,-0.099191502,,,,,
,,,,,,,相対誤差（下）,-0.14370074,,,,,
,,,,,,,,,,,,,
Bの通知がちょっと早い,1/10,1/10,1/10,1/0.1,1/0.05,1/0.1,シミュレーション(上),0.016689231,,,,,
,1/10,0.19705615,,1/0.05,13.32263295,,シミュレーション(下),0.017545363,,,,,
,,,,,,,解析,0.016134009,0.000135733,1.12E-06,9.31E-09,7.70E-11,
,,,,,,,相対誤差（上）,-0.033268318,,,,,
,,,,,,,相対誤差（下）,-0.080440304,,,,,
,,,,,,,,,,,,,
BとCの通知が早い,1/10,1/10,1/10,1/0.1,1/0.01,1/0.01,シミュレーション(上),0.010335522,,,,,
,1/10,0.199600997,,1/0.05,1/0.01,,シミュレーション(下),0.010912931,,,,,
,,,,,,,解析,0.007890579,3.18E-05,1.27E-07,5.10E-10,2.04E-12,
,,,,,,,相対誤差（上）,-0.2365573,,,,,
,,,,,,,相対誤差（下）,-0.27695145,,,,,
,,,,,,,,,,,,,
Aのマイニングが速い,1/5,1/10,1/10,1/0.1,1/0.1,1/0.1,シミュレーション(上),0.013698317,0.000176955,,,,
,1/5,0.196097035,,1/0.05,1/0.1,,シミュレーション(下),0.014178114,0.000232899,,,,
,,,,,,,解析,0.014298939,0.000214868,3.19E-06,4.72E-08,7.00E-10,
,,,,,,,相対誤差（上）,0.043846453,0.214255377,,,,
,,,,,,,相対誤差（下）,0.008521939,-0.077419315,,,,
,,,,,,,,,,,,,
AとBのマイニングが速い,1/5,1/5,1/10,1/0.1,1/0.1,1/0.1,シミュレーション(上),0.0255563,0.000353692,,,,
,1/5,0.292287298,,1/0.05,1/0.1,,シミュレーション(下),0.026185903,0.000353692,,,,
,,,,,,,解析,0.025434864,0.000463107,8.23E-06,1.46E-07,2.60E-09,
,,,,,,,相対誤差（上）,-0.004751714,0.309350147,,,,
,,,,,,,相対誤差（下）,-0.028681058,0.309350147,,,,
,,,,,,,,,,,,,
マイニングが遅いノードを加える,1/30,1/30,1/30,1/0.1,1/0.1,1/0.1,シミュレーション(上),0.006518197,,,,,
,1/30,0.066225888,,1/0.05,1/0.1,,シミュレーション(下),0.006698697,,,,,
,,,,,,,解析,0.006575201,2.20E-05,7.31E-08,2.43E-10,8.08E-13,
,,,,,,,相対誤差（上）,0.008745277,,,,,
,,,,,,,相対誤差（下）,-0.018435911,,,,,
,,,,,,,,,,,,,
Bのマイニングが速い,1/10,1/5,1/10,1/0.1,1/0.1,1/0.1,シミュレーション(上),0.032664432,,,,,
,1/10,0.292287298,,1/0.05,1/0.1,,シミュレーション(下),0.033620031,,,,,
,,,,,,,解析,0.031976281,0.000368138,4.11E-06,4.58E-08,5.11E-10,
,,,,,,,相対誤差（上）,-0.021067281,,,,,
,,,,,,,相対誤差（下）,-0.048891993,,,,,
,,,,,,,,,,,,,
Aの通知が早い,1/10,1/10,1/10,1/0.01,1/0.1,1/0.1,シミュレーション(上),0.010528155,,,,,
,1/10,0.196097035,,1/0.005,1/0.1,,シミュレーション(下),0.011363036,,,,,
,,,,,,,解析,0.013517851,9.58E-05,6.70E-07,4.68E-09,3.28E-11,
,,,,,,,相対誤差（上）,0.283971575,,,,,
,,,,,,,相対誤差（下）,0.189633806,,,,,
,,,,,,,,,,,,,
Aの通知が遅い(差がある）,1/10,1/10,1/10,"(1/0.3,1/0.7)",1/0.1,1/0.1,シミュレーション(上),0.049150579,,,,,
,1/10,0.196097035,,4,1/0.1,,シミュレーション(下),0.050791022,,,,,
,,,,,,,解析,0.043136562,0.001038517,,,,
,,,,,,,相対誤差（上）,-0.122359038,,,,,
,,,,,,,相対誤差（下）,-0.150704995,,,,,
,,,,,,,,,,,,,
Aの通知が早い(差がある）,1/10,1/10,1/10,"(1/0.03,1/0.07)",1/0.1,1/0.1,シミュレーション(上),0.014699193,,,,,
,1/10,0.196097035,,40,1/0.1,,シミュレーション(下),0.015762729,,,,,
,,,,,,,解析,0.016055846,0.000135241,,,,
,,,,,,,相対誤差（上）,0.092294382,,,,,
,,,,,,,相対誤差（下）,0.018595541,,,,,
,,,,,,,,,,,,,
AとBのマイニングが速い,1/5,1/5,1/10,1/0.1,1/0.1,1/0.1,シミュレーション(上),0.0255563,,,,,
,1/5,0.292287298,,1/0.05,1/0.1,,シミュレーション(下),0.026185903,,,,,
,,,,,,,解析,0.025434864,0.000463107,8.23E-06,1.46E-07,2.60E-09,
,,,,,,,相対誤差（上）,-0.004751714,,,,,
,,,,,,,相対誤差（下）,-0.028681058,,,,,
,,,,,,,,,,,,,
Aのマイニングが速く、通知が遅い,1/5,1/10,1/10,1/1,1/0.1,1/0.1,シミュレーション(上),0.059354485,0.006147485,,,,
,1/5,0.196097035,,1/0.5,1/0.1,,シミュレーション(下),0.059752469,0.006490226,,,,
,,,,,,,解析,0.051471851,0.003169111,0.000189293,1.13E-05,6.75E-07,
,,,,,,,相対誤差（上）,-0.132806037,-0.484486524,,,,
,,,,,,,相対誤差（下）,-0.138582019,-0.511710172,,,,
,,,,,,,,,,,,,
Aのマイニング通知が二倍,1/5,1/10,1/10,1/0.2,1/0.1,1/0.1,シミュレーション(上),0.019041463,,,,,
,1/5,0.196097035,,1/0.1,1/0.1,,シミュレーション(下),0.019957361,,,,,
,,,,,,,解析,0.018859027,0.000378127,7.45E-06,1.47E-07,2.89E-09,
,,,,,,,相対誤差（上）,-0.009580985,,,,,
,,,,,,,相対誤差（下）,-0.055034012,,,,,
,,,,,,,,,,,,,
